,date,location,location_name,value
327,2020-03-12,GM04,Free Hanseatic City of Hamburg,88
328,2020-03-12,GM05,Hesse State,94
329,2020-03-12,GM06,Lower Saxony State,127
330,2020-03-12,GM07,North Rhine-Westphalia State,687
331,2020-03-12,GM08,Rhineland-Palatinate State,53
332,2020-03-12,GM09,Saarland State,16
333,2020-03-12,GM10,Schleswig-Holstein State,31
334,2020-03-12,GM11,Brandenburg State,27
335,2020-03-12,GM12,Mecklenburg-Western Pomerania State,20
336,2020-03-12,GM13,Free State of Saxony,44
337,2020-03-12,GM14,Sachsen-Anhalt State,27
338,2020-03-12,GM15,Free State of Thuringia,13
339,2020-03-12,GM16,Berlin State,135
340,2020-03-13,GM,Germany,3047
341,2020-03-13,GM01,Baden-Württemberg State,448
342,2020-03-13,GM02,Free State of Bavaria,542
343,2020-03-13,GM03,Free Hanseatic City of Bremen,40
344,2020-03-13,GM04,Free Hanseatic City of Hamburg,98
345,2020-03-13,GM05,Hesse State,143
346,2020-03-13,GM06,Lower Saxony State,228
347,2020-03-13,GM07,North Rhine-Westphalia State,934
348,2020-03-13,GM08,Rhineland-Palatinate State,103
349,2020-03-13,GM09,Saarland State,41
350,2020-03-13,GM10,Schleswig-Holstein State,48
351,2020-03-13,GM11,Brandenburg State,41
352,2020-03-13,GM12,Mecklenburg-Western Pomerania State,30
353,2020-03-13,GM13,Free State of Saxony,82
354,2020-03-13,GM14,Sachsen-Anhalt State,42
355,2020-03-13,GM15,Free State of Thuringia,28
356,2020-03-13,GM16,Berlin State,172
357,2020-03-14,GM,Germany,3776
358,2020-03-14,GM01,Baden-Württemberg State,562
359,2020-03-14,GM02,Free State of Bavaria,665
360,2020-03-14,GM03,Free Hanseatic City of Bremen,47
361,2020-03-14,GM04,Free Hanseatic City of Hamburg,159
362,2020-03-14,GM05,Hesse State,197
363,2020-03-14,GM06,Lower Saxony State,250
364,2020-03-14,GM07,North Rhine-Westphalia State,1152
365,2020-03-14,GM08,Rhineland-Palatinate State,122
366,2020-03-14,GM09,Saarland State,41
367,2020-03-14,GM10,Schleswig-Holstein State,60
368,2020-03-14,GM11,Brandenburg State,53
369,2020-03-14,GM12,Mecklenburg-Western Pomerania State,42
370,2020-03-14,GM13,Free State of Saxony,92
371,2020-03-14,GM14,Sachsen-Anhalt State,44
372,2020-03-14,GM15,Free State of Thuringia,45
373,2020-03-14,GM16,Berlin State,214
374,2020-03-15,GM,Germany,4794
375,2020-03-15,GM01,Baden-Württemberg State,817
376,2020-03-15,GM02,Free State of Bavaria,870
377,2020-03-15,GM03,Free Hanseatic City of Bremen,50
378,2020-03-15,GM04,Free Hanseatic City of Hamburg,162
379,2020-03-15,GM05,Hesse State,280
380,2020-03-15,GM06,Lower Saxony State,284
381,2020-03-15,GM07,North Rhine-Westphalia State,1405
382,2020-03-15,GM08,Rhineland-Palatinate State,169
383,2020-03-15,GM09,Saarland State,41
384,2020-03-15,GM10,Schleswig-Holstein State,103
385,2020-03-15,GM11,Brandenburg State,54
386,2020-03-15,GM12,Mecklenburg-Western Pomerania State,47
387,2020-03-15,GM13,Free State of Saxony,128
388,2020-03-15,GM14,Sachsen-Anhalt State,46
389,2020-03-15,GM15,Free State of Thuringia,50
390,2020-03-15,GM16,Berlin State,262
391,2020-03-16,GM,Germany,5965
392,2020-03-16,GM01,Baden-Württemberg State,1092
393,2020-03-16,GM02,Free State of Bavaria,1051
394,2020-03-16,GM03,Free Hanseatic City of Bremen,52
395,2020-03-16,GM04,Free Hanseatic City of Hamburg,264
396,2020-03-16,GM05,Hesse State,336
397,2020-03-16,GM06,Lower Saxony State,388
398,2020-03-16,GM07,North Rhine-Westphalia State,1538
399,2020-03-16,GM08,Rhineland-Palatinate State,326
400,2020-03-16,GM09,Saarland State,92
401,2020-03-16,GM10,Schleswig-Holstein State,123
402,2020-03-16,GM11,Brandenburg State,61
403,2020-03-16,GM12,Mecklenburg-Western Pomerania State,48
404,2020-03-16,GM13,Free State of Saxony,138
405,2020-03-16,GM14,Sachsen-Anhalt State,76
406,2020-03-16,GM15,Free State of Thuringia,53
407,2020-03-16,GM16,Berlin State,297
408,2020-03-17,GM,Germany,7136
409,2020-03-17,GM01,Baden-Württemberg State,1462
410,2020-03-17,GM02,Free State of Bavaria,1092
411,2020-03-17,GM03,Free Hanseatic City of Bremen,53
412,2020-03-17,GM04,Free Hanseatic City of Hamburg,316
413,2020-03-17,GM05,Hesse State,366
414,2020-03-17,GM06,Lower Saxony State,388
415,2020-03-17,GM07,North Rhine-Westphalia State,2102
416,2020-03-17,GM08,Rhineland-Palatinate State,443
417,2020-03-17,GM09,Saarland State,92
418,2020-03-17,GM10,Schleswig-Holstein State,126
419,2020-03-17,GM11,Brandenburg State,69
420,2020-03-17,GM12,Mecklenburg-Western Pomerania State,48
421,2020-03-17,GM13,Free State of Saxony,180
422,2020-03-17,GM14,Sachsen-Anhalt State,76
423,2020-03-17,GM15,Free State of Thuringia,53
424,2020-03-17,GM16,Berlin State,342
425,2020-03-18,GM,Germany,8179
426,2020-03-18,GM01,Baden-Württemberg State,1591
427,2020-03-18,GM02,Free State of Bavaria,1226
428,2020-03-18,GM03,Free Hanseatic City of Bremen,65
429,2020-03-18,GM04,Free Hanseatic City of Hamburg,365
430,2020-03-18,GM05,Hesse State,425
431,2020-03-18,GM06,Lower Saxony State,541
432,2020-03-18,GM07,North Rhine-Westphalia State,2369
433,2020-03-18,GM08,Rhineland-Palatinate State,475
434,2020-03-18,GM09,Saarland State,104
435,2020-03-18,GM10,Schleswig-Holstein State,158
436,2020-03-18,GM11,Brandenburg State,88
437,2020-03-18,GM12,Mecklenburg-Western Pomerania State,59
438,2020-03-18,GM13,Free State of Saxony,195
439,2020-03-18,GM14,Sachsen-Anhalt State,123
440,2020-03-18,GM15,Free State of Thuringia,76
441,2020-03-18,GM16,Berlin State,387
442,2020-03-19,GM,Germany,10976
443,2020-03-19,GM01,Baden-Württemberg State,2131
444,2020-03-19,GM02,Free State of Bavaria,1674
445,2020-03-19,GM03,Free Hanseatic City of Bremen,76
446,2020-03-19,GM04,Free Hanseatic City of Hamburg,441
447,2020-03-19,GM05,Hesse State,674
448,2020-03-19,GM06,Lower Saxony State,732
449,2020-03-19,GM07,North Rhine-Westphalia State,3029
450,2020-03-19,GM08,Rhineland-Palatinate State,638
451,2020-03-19,GM09,Saarland State,115
452,2020-03-19,GM10,Schleswig-Holstein State,200
453,2020-03-19,GM11,Brandenburg State,129
454,2020-03-19,GM12,Mecklenburg-Western Pomerania State,101
455,2020-03-19,GM13,Free State of Saxony,272
456,2020-03-19,GM14,Sachsen-Anhalt State,158
457,2020-03-19,GM15,Free State of Thuringia,100
458,2020-03-19,GM16,Berlin State,569
459,2020-03-20,GM,Germany,13932
460,2020-03-20,GM01,Baden-Württemberg State,2716
461,2020-03-20,GM02,Free State of Bavaria,2383
462,2020-03-20,GM03,Free Hanseatic City of Bremen,116
463,2020-03-20,GM04,Free Hanseatic City of Hamburg,601
464,2020-03-20,GM05,Hesse State,805
465,2020-03-20,GM06,Lower Saxony State,865
466,2020-03-20,GM07,North Rhine-Westphalia State,3493
467,2020-03-20,GM08,Rhineland-Palatinate State,802
468,2020-03-20,GM09,Saarland State,161
469,2020-03-20,GM10,Schleswig-Holstein State,264
470,2020-03-20,GM11,Brandenburg State,185
471,2020-03-20,GM12,Mecklenburg-Western Pomerania State,133
472,2020-03-20,GM13,Free State of Saxony,391
473,2020-03-20,GM14,Sachsen-Anhalt State,197
474,2020-03-20,GM15,Free State of Thuringia,150
475,2020-03-20,GM16,Berlin State,727
476,2020-03-21,GM,Germany,16625
477,2020-03-21,GM01,Baden-Württemberg State,3628
478,2020-03-21,GM02,Free State of Bavaria,2942
479,2020-03-21,GM03,Free Hanseatic City of Bremen,137
480,2020-03-21,GM04,Free Hanseatic City of Hamburg,602
481,2020-03-21,GM05,Hesse State,1072
482,2020-03-21,GM06,Lower Saxony State,1085
483,2020-03-21,GM07,North Rhine-Westphalia State,3538
484,2020-03-21,GM08,Rhineland-Palatinate State,938
485,2020-03-21,GM09,Saarland State,201
486,2020-03-21,GM10,Schleswig-Holstein State,306
487,2020-03-21,GM11,Brandenburg State,246
488,2020-03-21,GM12,Mecklenburg-Western Pomerania State,167
489,2020-03-21,GM13,Free State of Saxony,564
490,2020-03-21,GM14,Sachsen-Anhalt State,205
491,2020-03-21,GM15,Free State of Thuringia,188
492,2020-03-21,GM16,Berlin State,862
493,2020-03-22,GM,Germany,18582
494,2020-03-22,GM01,Baden-Württemberg State,3765
495,2020-03-22,GM02,Free State of Bavaria,3631
496,2020-03-22,GM03,Free Hanseatic City of Bremen,159
497,2020-03-22,GM04,Free Hanseatic City of Hamburg,898
498,2020-03-22,GM05,Hesse State,1166
499,2020-03-22,GM06,Lower Saxony State,1367
500,2020-03-22,GM07,North Rhine-Westphalia State,3541
501,2020-03-22,GM08,Rhineland-Palatinate State,1053
502,2020-03-22,GM09,Saarland State,201
503,2020-03-22,GM10,Schleswig-Holstein State,344
504,2020-03-22,GM11,Brandenburg State,266
505,2020-03-22,GM12,Mecklenburg-Western Pomerania State,173
506,2020-03-22,GM13,Free State of Saxony,602
507,2020-03-22,GM14,Sachsen-Anhalt State,228
508,2020-03-22,GM15,Free State of Thuringia,217
509,2020-03-22,GM16,Berlin State,1019
510,2020-03-23,GM,Germany,22647
