"target","location","model","inverse_wis_weight"
"cum death","GM07","FIAS_FZJ-Epi1Ger",0.269063180500424
"cum death","GM07","USC-SIkJalpha",0.315518251647699
"cum death","GM07","ITWW-county_repro",0.315892605403682
"cum death","GM07","epiforecasts-EpiNow2",0.0995259624481951
"cum death","GM08","FIAS_FZJ-Epi1Ger",0.207105948459067
"cum death","GM08","USC-SIkJalpha",0.226701604075905
"cum death","GM08","ITWW-county_repro",0.181646780581802
"cum death","GM08","epiforecasts-EpiNow2",0.384545666883226
"cum death","GM09","FIAS_FZJ-Epi1Ger",0.0518230328486129
"cum death","GM09","USC-SIkJalpha",0.201351769506109
"cum death","GM09","ITWW-county_repro",0.196518309467428
"cum death","GM09","epiforecasts-EpiNow2",0.55030688817785
"cum death","GM10","FIAS_FZJ-Epi1Ger",0.0537760180105795
"cum death","GM10","USC-SIkJalpha",0.174447999129686
"cum death","GM10","ITWW-county_repro",0.325395276290766
"cum death","GM10","epiforecasts-EpiNow2",0.446380706568969
"cum death","GM11","FIAS_FZJ-Epi1Ger",0.0495143492231202
"cum death","GM11","USC-SIkJalpha",0.427393525433439
"cum death","GM11","ITWW-county_repro",0.260956249669646
"cum death","GM11","epiforecasts-EpiNow2",0.262135875673795
"cum death","GM12","FIAS_FZJ-Epi1Ger",0.0655779461593023
"cum death","GM12","USC-SIkJalpha",0.115465884633675
"cum death","GM12","ITWW-county_repro",0.147662593263066
"cum death","GM12","epiforecasts-EpiNow2",0.671293575943956
"cum death","GM13","FIAS_FZJ-Epi1Ger",0.144509037453956
"cum death","GM13","USC-SIkJalpha",0.409502465257167
"cum death","GM13","ITWW-county_repro",0.312498284604714
"cum death","GM13","epiforecasts-EpiNow2",0.133490212684162
"cum death","GM14","FIAS_FZJ-Epi1Ger",0.376181416540917
"cum death","GM14","USC-SIkJalpha",0.201151542306212
"cum death","GM14","ITWW-county_repro",0.212348859549339
"cum death","GM14","epiforecasts-EpiNow2",0.210318181603532
"cum death","GM15","FIAS_FZJ-Epi1Ger",0.0633573320106032
"cum death","GM15","USC-SIkJalpha",0.0433257129829213
"cum death","GM15","ITWW-county_repro",0.4176998438888
"cum death","GM15","epiforecasts-EpiNow2",0.475617111117676
"cum death","GM16","FIAS_FZJ-Epi1Ger",0.256514828321151
"cum death","GM16","USC-SIkJalpha",0.127120190124956
"cum death","GM16","ITWW-county_repro",0.216360651982975
"cum death","GM16","epiforecasts-EpiNow2",0.400004329570917
"inc case","PL72","USC-SIkJalpha",0.44615407404612
"inc case","PL72","ITWW-county_repro",0.167775447649141
"inc case","PL72","epiforecasts-EpiNow2",0.386070478304739
"inc case","PL73","USC-SIkJalpha",0.311505815341899
"inc case","PL73","ITWW-county_repro",0.245460698825682
"inc case","PL73","epiforecasts-EpiNow2",0.443033485832419
"inc case","PL74","USC-SIkJalpha",0.382963976631161
"inc case","PL74","ITWW-county_repro",0.166619479252493
"inc case","PL74","epiforecasts-EpiNow2",0.450416544116346
"inc case","PL75","USC-SIkJalpha",0.320949120551009
"inc case","PL75","ITWW-county_repro",0.147661425599786
"inc case","PL75","epiforecasts-EpiNow2",0.531389453849205
"inc case","PL76","USC-SIkJalpha",0.407746435769317
"inc case","PL76","ITWW-county_repro",0.326848725627918
"inc case","PL76","epiforecasts-EpiNow2",0.265404838602765
"inc case","PL77","USC-SIkJalpha",0.167220725257016
"inc case","PL77","ITWW-county_repro",0.190407840659833
"inc case","PL77","epiforecasts-EpiNow2",0.642371434083151
"inc case","PL78","USC-SIkJalpha",0.30579581582293
"inc case","PL78","ITWW-county_repro",0.112805781064698
"inc case","PL78","epiforecasts-EpiNow2",0.581398403112371
"inc case","PL79","USC-SIkJalpha",0.394385448819513
"inc case","PL79","ITWW-county_repro",0.263085787084713
"inc case","PL79","epiforecasts-EpiNow2",0.342528764095774
"inc case","PL80","USC-SIkJalpha",0.290135204126753
"inc case","PL80","ITWW-county_repro",0.280070396094026
"inc case","PL80","epiforecasts-EpiNow2",0.42979439977922
"inc case","PL81","USC-SIkJalpha",0.406151334309904
"inc case","PL81","ITWW-county_repro",0.327734125521065
"inc case","PL81","epiforecasts-EpiNow2",0.266114540169031
"inc case","PL82","USC-SIkJalpha",0.313236023732943
"inc case","PL82","ITWW-county_repro",0.40550688550408
"inc case","PL82","epiforecasts-EpiNow2",0.281257090762977
"inc case","PL83","USC-SIkJalpha",0.390542223869846
"inc case","PL83","ITWW-county_repro",0.204237832491905
"inc case","PL83","epiforecasts-EpiNow2",0.405219943638249
"inc case","PL84","USC-SIkJalpha",0.383902616804225
"inc case","PL84","ITWW-county_repro",0.270610010033041
"inc case","PL84","epiforecasts-EpiNow2",0.345487373162734
"inc case","PL85","USC-SIkJalpha",0.29007561120225
"inc case","PL85","ITWW-county_repro",0.250209055735888
"inc case","PL85","epiforecasts-EpiNow2",0.459715333061863
"inc case","PL86","USC-SIkJalpha",0.34414817297558
"inc case","PL86","ITWW-county_repro",0.30102966366454
"inc case","PL86","epiforecasts-EpiNow2",0.35482216335988
"inc case","PL87","USC-SIkJalpha",0.433015239527622
"inc case","PL87","ITWW-county_repro",0.225803660826307
"inc case","PL87","epiforecasts-EpiNow2",0.341181099646071
"cum case","PL72","USC-SIkJalpha",0.492750983591924
"cum case","PL72","ITWW-county_repro",0.152316692534631
"cum case","PL72","epiforecasts-EpiNow2",0.354932323873445
"cum case","PL73","USC-SIkJalpha",0.287986074438821
"cum case","PL73","ITWW-county_repro",0.235738067829838
"cum case","PL73","epiforecasts-EpiNow2",0.476275857731341
"cum case","PL74","USC-SIkJalpha",0.436922845666805
"cum case","PL74","ITWW-county_repro",0.130157512896632
"cum case","PL74","epiforecasts-EpiNow2",0.432919641436563
"cum case","PL75","USC-SIkJalpha",0.333478502506349
