date,location,location_name,age_group,value
2020-03-27,GM14,Sachsen-Anhalt State,A80+,1
2020-03-27,GM15,Free State of Thüringia,A35-A59,1
2020-03-27,GM15,Free State of Thüringia,A80+,3
2020-03-27,GM16,Berlin State,A35-A59,1
2020-03-27,GM16,Berlin State,A60-A79,1
2020-03-27,GM16,Berlin State,A80+,6
2020-03-28,GM,Germany,A15-A34,3
2020-03-28,GM,Germany,A35-A59,16
2020-03-28,GM,Germany,A60-A79,95
2020-03-28,GM,Germany,A80+,210
2020-03-28,GM,Germany,unbekannt,1
2020-03-28,GM01,Baden-Württemberg State,A35-A59,3
2020-03-28,GM01,Baden-Württemberg State,A60-A79,32
2020-03-28,GM01,Baden-Württemberg State,A80+,66
2020-03-28,GM02,Free State of Bavaria,A15-A34,2
2020-03-28,GM02,Free State of Bavaria,A35-A59,4
2020-03-28,GM02,Free State of Bavaria,A60-A79,18
2020-03-28,GM02,Free State of Bavaria,A80+,52
2020-03-28,GM02,Free State of Bavaria,unbekannt,1
2020-03-28,GM03,Free Hanseatic City of Bremen,A35-A59,1
2020-03-28,GM03,Free Hanseatic City of Bremen,A60-A79,1
2020-03-28,GM04,Free Hanseatic City of Hamburg,A35-A59,1
2020-03-28,GM04,Free Hanseatic City of Hamburg,A60-A79,1
2020-03-28,GM05,Hesse State,A35-A59,1
2020-03-28,GM05,Hesse State,A60-A79,2
2020-03-28,GM05,Hesse State,A80+,6
2020-03-28,GM06,Lower Saxony State,A15-A34,1
2020-03-28,GM06,Lower Saxony State,A35-A59,1
2020-03-28,GM06,Lower Saxony State,A60-A79,4
2020-03-28,GM06,Lower Saxony State,A80+,6
2020-03-28,GM07,North Rhine-Westphalia State,A35-A59,2
2020-03-28,GM07,North Rhine-Westphalia State,A60-A79,24
2020-03-28,GM07,North Rhine-Westphalia State,A80+,54
2020-03-28,GM08,Rhineland-Palatinate State,A60-A79,3
2020-03-28,GM08,Rhineland-Palatinate State,A80+,8
2020-03-28,GM09,Saarland State,A60-A79,2
2020-03-28,GM10,Schleswig-Holstein State,A35-A59,1
2020-03-28,GM10,Schleswig-Holstein State,A60-A79,3
2020-03-28,GM11,Brandenburg State,A80+,1
2020-03-28,GM13,Free State of Saxony,A60-A79,3
2020-03-28,GM13,Free State of Saxony,A80+,6
2020-03-28,GM14,Sachsen-Anhalt State,A60-A79,1
2020-03-28,GM14,Sachsen-Anhalt State,A80+,1
2020-03-28,GM15,Free State of Thüringia,A35-A59,1
2020-03-28,GM15,Free State of Thüringia,A80+,4
2020-03-28,GM16,Berlin State,A35-A59,1
2020-03-28,GM16,Berlin State,A60-A79,1
2020-03-28,GM16,Berlin State,A80+,6
2020-03-29,GM,Germany,A15-A34,1
2020-03-29,GM,Germany,A35-A59,20
2020-03-29,GM,Germany,A60-A79,115
2020-03-29,GM,Germany,A80+,252
2020-03-29,GM,Germany,unbekannt,1
2020-03-29,GM01,Baden-Württemberg State,A35-A59,3
2020-03-29,GM01,Baden-Württemberg State,A60-A79,32
2020-03-29,GM01,Baden-Württemberg State,A80+,66
2020-03-29,GM02,Free State of Bavaria,A15-A34,1
2020-03-29,GM02,Free State of Bavaria,A35-A59,5
2020-03-29,GM02,Free State of Bavaria,A60-A79,27
2020-03-29,GM02,Free State of Bavaria,A80+,73
2020-03-29,GM02,Free State of Bavaria,unbekannt,1
2020-03-29,GM03,Free Hanseatic City of Bremen,A35-A59,1
2020-03-29,GM03,Free Hanseatic City of Bremen,A60-A79,1
2020-03-29,GM04,Free Hanseatic City of Hamburg,A35-A59,1
2020-03-29,GM04,Free Hanseatic City of Hamburg,A60-A79,2
2020-03-29,GM04,Free Hanseatic City of Hamburg,A80+,1
2020-03-29,GM05,Hesse State,A35-A59,1
2020-03-29,GM05,Hesse State,A60-A79,2
2020-03-29,GM05,Hesse State,A80+,6
2020-03-29,GM06,Lower Saxony State,A35-A59,2
2020-03-29,GM06,Lower Saxony State,A60-A79,6
2020-03-29,GM06,Lower Saxony State,A80+,13
2020-03-29,GM07,North Rhine-Westphalia State,A35-A59,3
2020-03-29,GM07,North Rhine-Westphalia State,A60-A79,30
2020-03-29,GM07,North Rhine-Westphalia State,A80+,65
2020-03-29,GM08,Rhineland-Palatinate State,A60-A79,4
2020-03-29,GM08,Rhineland-Palatinate State,A80+,8
2020-03-29,GM09,Saarland State,A60-A79,2
2020-03-29,GM10,Schleswig-Holstein State,A35-A59,1
2020-03-29,GM10,Schleswig-Holstein State,A60-A79,4
2020-03-29,GM10,Schleswig-Holstein State,A80+,1
2020-03-29,GM11,Brandenburg State,A80+,1
2020-03-29,GM12,Mecklenburg-Western Pomerania State,A35-A59,1
2020-03-29,GM13,Free State of Saxony,A60-A79,3
2020-03-29,GM13,Free State of Saxony,A80+,6
2020-03-29,GM14,Sachsen-Anhalt State,A60-A79,1
2020-03-29,GM14,Sachsen-Anhalt State,A80+,1
2020-03-29,GM15,Free State of Thüringia,A35-A59,1
2020-03-29,GM15,Free State of Thüringia,A80+,4
2020-03-29,GM16,Berlin State,A35-A59,1
2020-03-29,GM16,Berlin State,A60-A79,1
2020-03-29,GM16,Berlin State,A80+,7
2020-03-30,GM,Germany,A15-A34,1
2020-03-30,GM,Germany,A35-A59,25
2020-03-30,GM,Germany,A60-A79,131
2020-03-30,GM,Germany,A80+,297
2020-03-30,GM,Germany,unbekannt,1
2020-03-30,GM01,Baden-Württemberg State,A35-A59,4
2020-03-30,GM01,Baden-Württemberg State,A60-A79,36
