date,location,location_name,age_group,value
2020-03-26,GM05,Hesse State,A15-A34,0
2020-03-26,GM05,Hesse State,A35-A59,0
2020-03-26,GM05,Hesse State,A60-A79,0
2020-03-26,GM05,Hesse State,A80+,0
2020-03-26,GM05,Hesse State,unbekannt,0
2020-03-26,GM06,Lower Saxony State,A00-A04,0
2020-03-26,GM06,Lower Saxony State,A05-A14,0
2020-03-26,GM06,Lower Saxony State,A15-A34,0
2020-03-26,GM06,Lower Saxony State,A35-A59,0
2020-03-26,GM06,Lower Saxony State,A60-A79,0
2020-03-26,GM06,Lower Saxony State,A80+,0
2020-03-26,GM06,Lower Saxony State,unbekannt,0
2020-03-26,GM07,North Rhine-Westphalia State,A00-A04,0
2020-03-26,GM07,North Rhine-Westphalia State,A05-A14,0
2020-03-26,GM07,North Rhine-Westphalia State,A15-A34,0
2020-03-26,GM07,North Rhine-Westphalia State,A35-A59,0
2020-03-26,GM07,North Rhine-Westphalia State,A60-A79,0
2020-03-26,GM07,North Rhine-Westphalia State,A80+,0
2020-03-26,GM07,North Rhine-Westphalia State,unbekannt,0
2020-03-26,GM08,Rhineland-Palatinate State,A00-A04,0
2020-03-26,GM08,Rhineland-Palatinate State,A05-A14,0
2020-03-26,GM08,Rhineland-Palatinate State,A15-A34,0
2020-03-26,GM08,Rhineland-Palatinate State,A35-A59,0
2020-03-26,GM08,Rhineland-Palatinate State,A60-A79,0
2020-03-26,GM08,Rhineland-Palatinate State,A80+,0
2020-03-26,GM08,Rhineland-Palatinate State,unbekannt,0
2020-03-26,GM09,Saarland State,A00-A04,0
2020-03-26,GM09,Saarland State,A05-A14,0
2020-03-26,GM09,Saarland State,A15-A34,0
2020-03-26,GM09,Saarland State,A35-A59,0
2020-03-26,GM09,Saarland State,A60-A79,0
2020-03-26,GM09,Saarland State,A80+,0
2020-03-26,GM09,Saarland State,unbekannt,0
2020-03-26,GM10,Schleswig-Holstein State,A00-A04,0
