date,location,location_name,age_group,value
2020-03-25,GM05,Hesse State,unbekannt,10
2020-03-25,GM06,Lower Saxony State,A00-A04,9
2020-03-25,GM06,Lower Saxony State,A05-A14,30
2020-03-25,GM06,Lower Saxony State,A15-A34,522
2020-03-25,GM06,Lower Saxony State,A35-A59,1124
2020-03-25,GM06,Lower Saxony State,A60-A79,393
2020-03-25,GM06,Lower Saxony State,A80+,61
2020-03-25,GM06,Lower Saxony State,unbekannt,1
2020-03-25,GM07,North Rhine-Westphalia State,A00-A04,42
2020-03-25,GM07,North Rhine-Westphalia State,A05-A14,87
2020-03-25,GM07,North Rhine-Westphalia State,A15-A34,1734
2020-03-25,GM07,North Rhine-Westphalia State,A35-A59,3885
2020-03-25,GM07,North Rhine-Westphalia State,A60-A79,1188
2020-03-25,GM07,North Rhine-Westphalia State,A80+,234
2020-03-25,GM07,North Rhine-Westphalia State,unbekannt,27
2020-03-25,GM08,Rhineland-Palatinate State,A00-A04,10
2020-03-25,GM08,Rhineland-Palatinate State,A05-A14,20
2020-03-25,GM08,Rhineland-Palatinate State,A15-A34,403
2020-03-25,GM08,Rhineland-Palatinate State,A35-A59,847
2020-03-25,GM08,Rhineland-Palatinate State,A60-A79,252
2020-03-25,GM08,Rhineland-Palatinate State,A80+,41
2020-03-25,GM08,Rhineland-Palatinate State,unbekannt,18
2020-03-25,GM09,Saarland State,A00-A04,2
2020-03-25,GM09,Saarland State,A05-A14,4
2020-03-25,GM09,Saarland State,A15-A34,114
2020-03-25,GM09,Saarland State,A35-A59,221
2020-03-25,GM09,Saarland State,A60-A79,50
2020-03-25,GM09,Saarland State,A80+,11
2020-03-25,GM09,Saarland State,unbekannt,1
2020-03-25,GM10,Schleswig-Holstein State,A00-A04,6
2020-03-25,GM10,Schleswig-Holstein State,A05-A14,11
2020-03-25,GM10,Schleswig-Holstein State,A15-A34,151
2020-03-25,GM10,Schleswig-Holstein State,A35-A59,273
2020-03-25,GM10,Schleswig-Holstein State,A60-A79,102
2020-03-25,GM10,Schleswig-Holstein State,A80+,26
2020-03-25,GM10,Schleswig-Holstein State,unbekannt,8
2020-03-25,GM11,Brandenburg State,A00-A04,1
2020-03-25,GM11,Brandenburg State,A05-A14,5
2020-03-25,GM11,Brandenburg State,A15-A34,88
2020-03-25,GM11,Brandenburg State,A35-A59,239
2020-03-25,GM11,Brandenburg State,A60-A79,91
2020-03-25,GM11,Brandenburg State,A80+,5
2020-03-25,GM12,Mecklenburg-Western Pomerania State,A05-A14,1
2020-03-25,GM12,Mecklenburg-Western Pomerania State,A15-A34,72
2020-03-25,GM12,Mecklenburg-Western Pomerania State,A35-A59,111
2020-03-25,GM12,Mecklenburg-Western Pomerania State,A60-A79,32
2020-03-25,GM12,Mecklenburg-Western Pomerania State,A80+,2
2020-03-25,GM13,Free State of Saxony,A00-A04,11
2020-03-25,GM13,Free State of Saxony,A05-A14,15
2020-03-25,GM13,Free State of Saxony,A15-A34,250
2020-03-25,GM13,Free State of Saxony,A35-A59,486
2020-03-25,GM13,Free State of Saxony,A60-A79,174
2020-03-25,GM13,Free State of Saxony,A80+,23
2020-03-25,GM14,Sachsen-Anhalt State,A05-A14,7
2020-03-25,GM14,Sachsen-Anhalt State,A15-A34,98
2020-03-25,GM14,Sachsen-Anhalt State,A35-A59,185
2020-03-25,GM14,Sachsen-Anhalt State,A60-A79,66
2020-03-25,GM14,Sachsen-Anhalt State,A80+,18
2020-03-25,GM14,Sachsen-Anhalt State,unbekannt,1
2020-03-25,GM15,Free State of Thüringia,A00-A04,2
2020-03-25,GM15,Free State of Thüringia,A05-A14,12
2020-03-25,GM15,Free State of Thüringia,A15-A34,104
2020-03-25,GM15,Free State of Thüringia,A35-A59,207
2020-03-25,GM15,Free State of Thüringia,A60-A79,57
2020-03-25,GM15,Free State of Thüringia,A80+,12
2020-03-25,GM16,Berlin State,A00-A04,15
2020-03-25,GM16,Berlin State,A05-A14,50
2020-03-25,GM16,Berlin State,A15-A34,533
2020-03-25,GM16,Berlin State,A35-A59,662
2020-03-25,GM16,Berlin State,A60-A79,141
2020-03-25,GM16,Berlin State,A80+,21
2020-03-25,GM16,Berlin State,unbekannt,6
2020-03-26,GM,Germany,A00-A04,234
2020-03-26,GM,Germany,A05-A14,651
2020-03-26,GM,Germany,A15-A34,8304
2020-03-26,GM,Germany,A35-A59,16103
2020-03-26,GM,Germany,A60-A79,5092
2020-03-26,GM,Germany,A80+,1037
2020-03-26,GM,Germany,unbekannt,133
2020-03-26,GM01,Baden-Württemberg State,A00-A04,48
2020-03-26,GM01,Baden-Württemberg State,A05-A14,134
2020-03-26,GM01,Baden-Württemberg State,A15-A34,1600
2020-03-26,GM01,Baden-Württemberg State,A35-A59,2957
2020-03-26,GM01,Baden-Württemberg State,A60-A79,1068
2020-03-26,GM01,Baden-Württemberg State,A80+,244
2020-03-26,GM01,Baden-Württemberg State,unbekannt,18
2020-03-26,GM02,Free State of Bavaria,A00-A04,70
2020-03-26,GM02,Free State of Bavaria,A05-A14,206
2020-03-26,GM02,Free State of Bavaria,A15-A34,1710
2020-03-26,GM02,Free State of Bavaria,A35-A59,3208
2020-03-26,GM02,Free State of Bavaria,A60-A79,1034
2020-03-26,GM02,Free State of Bavaria,A80+,293
2020-03-26,GM02,Free State of Bavaria,unbekannt,37
2020-03-26,GM03,Free Hanseatic City of Bremen,A05-A14,1
2020-03-26,GM03,Free Hanseatic City of Bremen,A15-A34,56
2020-03-26,GM03,Free Hanseatic City of Bremen,A35-A59,94
2020-03-26,GM03,Free Hanseatic City of Bremen,A60-A79,41
2020-03-26,GM03,Free Hanseatic City of Bremen,A80+,6
2020-03-26,GM03,Free Hanseatic City of Bremen,unbekannt,2
2020-03-26,GM04,Free Hanseatic City of Hamburg,A00-A04,11
2020-03-26,GM04,Free Hanseatic City of Hamburg,A05-A14,43
2020-03-26,GM04,Free Hanseatic City of Hamburg,A15-A34,449
2020-03-26,GM04,Free Hanseatic City of Hamburg,A35-A59,598
2020-03-26,GM04,Free Hanseatic City of Hamburg,A60-A79,141
2020-03-26,GM04,Free Hanseatic City of Hamburg,A80+,16
2020-03-26,GM04,Free Hanseatic City of Hamburg,unbekannt,4
2020-03-26,GM05,Hesse State,A00-A04,7
2020-03-26,GM05,Hesse State,A05-A14,25
2020-03-26,GM05,Hesse State,A15-A34,420
2020-03-26,GM05,Hesse State,A35-A59,1006
2020-03-26,GM05,Hesse State,A60-A79,262
2020-03-26,GM05,Hesse State,A80+,24
2020-03-26,GM05,Hesse State,unbekannt,10
2020-03-26,GM06,Lower Saxony State,A00-A04,9
2020-03-26,GM06,Lower Saxony State,A05-A14,30
2020-03-26,GM06,Lower Saxony State,A15-A34,522
2020-03-26,GM06,Lower Saxony State,A35-A59,1124
2020-03-26,GM06,Lower Saxony State,A60-A79,393
2020-03-26,GM06,Lower Saxony State,A80+,61
2020-03-26,GM06,Lower Saxony State,unbekannt,1
2020-03-26,GM07,North Rhine-Westphalia State,A00-A04,42
2020-03-26,GM07,North Rhine-Westphalia State,A05-A14,87
2020-03-26,GM07,North Rhine-Westphalia State,A15-A34,1734
2020-03-26,GM07,North Rhine-Westphalia State,A35-A59,3885
2020-03-26,GM07,North Rhine-Westphalia State,A60-A79,1188
2020-03-26,GM07,North Rhine-Westphalia State,A80+,234
2020-03-26,GM07,North Rhine-Westphalia State,unbekannt,27
2020-03-26,GM08,Rhineland-Palatinate State,A00-A04,10
2020-03-26,GM08,Rhineland-Palatinate State,A05-A14,20
2020-03-26,GM08,Rhineland-Palatinate State,A15-A34,403
2020-03-26,GM08,Rhineland-Palatinate State,A35-A59,847
2020-03-26,GM08,Rhineland-Palatinate State,A60-A79,252
2020-03-26,GM08,Rhineland-Palatinate State,A80+,41
2020-03-26,GM08,Rhineland-Palatinate State,unbekannt,18
2020-03-26,GM09,Saarland State,A00-A04,2
2020-03-26,GM09,Saarland State,A05-A14,4
