target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.35,113.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.4,147.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.45,162.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.5,196.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.55,234.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.6,278.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.65,337.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.7,429.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.75,460.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.8,563.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.85,650.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.9,827.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.95,1138.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.975,1697.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.99,2624.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.01,12.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.025,31.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.05,69.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.1,93.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.15,150.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.2,186.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.25,299.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.3,358.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.35,407.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.4,505.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.45,568.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.5,661.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.55,751.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.6,877.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.65,1040.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.7,1245.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.75,1326.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.8,1584.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.85,1793.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.9,2219.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.95,2976.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.975,4226.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM07,quantile,0.99,6317.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.01,7.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.025,17.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.05,23.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.1,29.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.15,35.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.2,41.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.25,58.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.3,74.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.35,77.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.4,100.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.45,109.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.5,122.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.55,140.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.6,165.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.65,197.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.7,240.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.75,256.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.8,311.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.85,354.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.9,440.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.95,608.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.975,887.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM08,quantile,0.99,1356.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.01,0.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.025,2.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.05,5.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.1,7.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.15,10.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.2,14.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.25,21.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.3,26.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.35,29.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.4,35.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.45,39.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.5,44.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.55,49.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.6,57.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.65,65.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.7,77.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.75,82.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.8,96.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.85,108.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.9,131.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.95,173.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.975,241.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM09,quantile,0.99,357.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.01,3.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.025,8.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.05,12.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.1,13.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.15,15.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.2,22.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.25,28.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.3,41.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.35,47.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.4,59.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.45,61.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.5,75.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.55,90.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.6,105.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.65,125.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.7,160.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.75,172.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.8,207.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.85,240.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.9,303.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.95,412.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.975,619.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM10,quantile,0.99,960.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.01,1.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.025,4.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.05,17.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.1,20.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.15,29.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.2,34.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.25,47.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.3,59.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.35,60.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.4,79.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.45,84.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.5,90.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.55,100.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.6,119.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.65,134.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.7,164.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.75,173.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.8,209.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.85,234.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.9,281.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.95,387.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.975,551.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM11,quantile,0.99,838.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.01,2.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.025,5.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.05,7.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.1,7.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.15,10.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.2,13.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.25,18.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.3,24.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.35,26.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.4,33.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.45,34.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.5,40.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.55,48.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.6,57.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.65,67.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.7,85.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.75,91.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.8,111.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.85,128.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.9,161.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.95,221.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.975,332.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM12,quantile,0.99,518.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.01,0.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.025,0.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.05,1.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.1,8.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.15,14.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.2,22.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.25,43.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.3,47.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.35,48.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.4,83.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.45,93.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.5,108.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.55,117.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.6,150.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.65,186.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.7,242.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.75,263.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.8,339.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.85,380.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.9,470.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.95,674.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.975,959.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM13,quantile,0.99,1424.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.01,0.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.025,0.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.05,3.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.1,6.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.15,12.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.2,15.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.25,24.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.3,32.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.35,32.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.4,46.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.45,49.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.5,55.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.55,62.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.6,79.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.65,93.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.7,118.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.75,126.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.8,160.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.85,181.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.9,224.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.95,319.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.975,463.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM14,quantile,0.99,714.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.01,0.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.025,0.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.05,5.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.1,10.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.15,14.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.2,19.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.25,37.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.3,43.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.35,46.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.4,64.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.45,72.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.5,79.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.55,85.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.6,105.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.65,124.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM15,quantile,0.7,152.3
