date,location_name,location,value
2020-04-14,Slaskie,PL83,47.0
2020-04-14,Swietokrzyskie,PL84,2.0
2020-04-14,Warminsko-Mazurskie,PL85,1.0
2020-04-14,Wielkopolskie,PL86,40.0
2020-04-14,Zachodniopomorskie,PL87,2.0
2020-04-14,Poland,PL,245.0
2020-04-15,Dolnoslaskie,PL72,25.0
2020-04-15,Kujawsko-Pomorskie,PL73,9.0
2020-04-15,Lubelskie,PL75,10.0
2020-04-15,Lubuskie,PL76,0.0
2020-04-15,Lodzkie,PL74,8.0
2020-04-15,Malopolskie,PL77,13.0
2020-04-15,Mazowieckie,PL78,76.0
2020-04-15,Opolskie,PL79,7.0
2020-04-15,Podkarpackie,PL80,13.0
2020-04-15,Podlaskie,PL81,1.0
2020-04-15,Pomorskie,PL82,1.0
2020-04-15,Slaskie,PL83,52.0
2020-04-15,Swietokrzyskie,PL84,2.0
2020-04-15,Warminsko-Mazurskie,PL85,1.0
2020-04-15,Wielkopolskie,PL86,43.0
2020-04-15,Zachodniopomorskie,PL87,2.0
2020-04-15,Poland,PL,263.0
2020-04-16,Dolnoslaskie,PL72,25.0
2020-04-16,Kujawsko-Pomorskie,PL73,12.0
2020-04-16,Lubelskie,PL75,10.0
2020-04-16,Lubuskie,PL76,0.0
2020-04-16,Lodzkie,PL74,9.0
2020-04-16,Malopolskie,PL77,15.0
2020-04-16,Mazowieckie,PL78,84.0
2020-04-16,Opolskie,PL79,9.0
2020-04-16,Podkarpackie,PL80,14.0
2020-04-16,Podlaskie,PL81,1.0
2020-04-16,Pomorskie,PL82,1.0
2020-04-16,Slaskie,PL83,58.0
2020-04-16,Swietokrzyskie,PL84,2.0
2020-04-16,Warminsko-Mazurskie,PL85,1.0
2020-04-16,Wielkopolskie,PL86,43.0
2020-04-16,Zachodniopomorskie,PL87,2.0
2020-04-16,Poland,PL,286.0
2020-04-17,Dolnoslaskie,PL72,28.0
2020-04-17,Kujawsko-Pomorskie,PL73,13.0
2020-04-17,Lubelskie,PL75,10.0
2020-04-17,Lubuskie,PL76,0.0
2020-04-17,Lodzkie,PL74,9.0
2020-04-17,Malopolskie,PL77,15.0
2020-04-17,Mazowieckie,PL78,96.0
2020-04-17,Opolskie,PL79,10.0
2020-04-17,Podkarpackie,PL80,15.0
2020-04-17,Podlaskie,PL81,2.0
2020-04-17,Pomorskie,PL82,2.0
2020-04-17,Slaskie,PL83,63.0
2020-04-17,Swietokrzyskie,PL84,3.0
2020-04-17,Warminsko-Mazurskie,PL85,1.0
2020-04-17,Wielkopolskie,PL86,45.0
2020-04-17,Zachodniopomorskie,PL87,2.0
2020-04-17,Poland,PL,314.0
2020-04-18,Dolnoslaskie,PL72,30.0
2020-04-18,Kujawsko-Pomorskie,PL73,13.0
2020-04-18,Lubelskie,PL75,10.0
2020-04-18,Lubuskie,PL76,0.0
2020-04-18,Lodzkie,PL74,9.0
2020-04-18,Malopolskie,PL77,16.0
2020-04-18,Mazowieckie,PL78,100.0
2020-04-18,Opolskie,PL79,13.0
2020-04-18,Podkarpackie,PL80,15.0
2020-04-18,Podlaskie,PL81,2.0
2020-04-18,Pomorskie,PL82,2.0
2020-04-18,Slaskie,PL83,67.0
2020-04-18,Swietokrzyskie,PL84,4.0
2020-04-18,Warminsko-Mazurskie,PL85,1.0
2020-04-18,Wielkopolskie,PL86,48.0
2020-04-18,Zachodniopomorskie,PL87,2.0
2020-04-18,Poland,PL,332.0
