date,location_name,location,value
2021-09-24,Warminsko-Mazurskie,PL85,40
2021-09-24,Wielkopolskie,PL86,42
2021-09-24,Zachodniopomorskie,PL87,69
2021-09-25,Poland,PL,813
2021-09-25,Dolnoslaskie,PL72,56
2021-09-25,Kujawsko-Pomorskie,PL73,33
2021-09-25,Lubelskie,PL75,132
2021-09-25,Lubuskie,PL76,10
2021-09-25,Lodzkie,PL74,47
2021-09-25,Malopolskie,PL77,56
2021-09-25,Mazowieckie,PL78,118
2021-09-25,Opolskie,PL79,13
2021-09-25,Podkarpackie,PL80,51
2021-09-25,Podlaskie,PL81,66
2021-09-25,Pomorskie,PL82,33
2021-09-25,Slaskie,PL83,52
2021-09-25,Swietokrzyskie,PL84,6
2021-09-25,Warminsko-Mazurskie,PL85,23
2021-09-25,Wielkopolskie,PL86,43
2021-09-25,Zachodniopomorskie,PL87,66
2021-09-26,Poland,PL,917
2021-09-26,Dolnoslaskie,PL72,47
2021-09-26,Kujawsko-Pomorskie,PL73,36
2021-09-26,Lubelskie,PL75,143
2021-09-26,Lubuskie,PL76,5
2021-09-26,Lodzkie,PL74,46
2021-09-26,Malopolskie,PL77,72
2021-09-26,Mazowieckie,PL78,158
2021-09-26,Opolskie,PL79,8
2021-09-26,Podkarpackie,PL80,85
2021-09-26,Podlaskie,PL81,66
2021-09-26,Pomorskie,PL82,29
2021-09-26,Slaskie,PL83,73
2021-09-26,Swietokrzyskie,PL84,2
2021-09-26,Warminsko-Mazurskie,PL85,43
2021-09-26,Wielkopolskie,PL86,35
2021-09-26,Zachodniopomorskie,PL87,60
2021-09-27,Poland,PL,643
2021-09-27,Dolnoslaskie,PL72,29
2021-09-27,Kujawsko-Pomorskie,PL73,19
2021-09-27,Lubelskie,PL75,122
2021-09-27,Lubuskie,PL76,14
2021-09-27,Lodzkie,PL74,26
2021-09-27,Malopolskie,PL77,40
2021-09-27,Mazowieckie,PL78,131
2021-09-27,Opolskie,PL79,7
2021-09-27,Podkarpackie,PL80,52
2021-09-27,Podlaskie,PL81,37
2021-09-27,Pomorskie,PL82,21
2021-09-27,Slaskie,PL83,42
2021-09-27,Swietokrzyskie,PL84,7
2021-09-27,Warminsko-Mazurskie,PL85,16
2021-09-27,Wielkopolskie,PL86,31
2021-09-27,Zachodniopomorskie,PL87,43
2021-09-28,Poland,PL,421
2021-09-28,Dolnoslaskie,PL72,17
2021-09-28,Kujawsko-Pomorskie,PL73,13
2021-09-28,Lubelskie,PL75,59
2021-09-28,Lubuskie,PL76,3
2021-09-28,Lodzkie,PL74,20
2021-09-28,Malopolskie,PL77,27
2021-09-28,Mazowieckie,PL78,82
2021-09-28,Opolskie,PL79,4
2021-09-28,Podkarpackie,PL80,34
2021-09-28,Podlaskie,PL81,20
2021-09-28,Pomorskie,PL82,22
2021-09-28,Slaskie,PL83,20
2021-09-28,Swietokrzyskie,PL84,9
2021-09-28,Warminsko-Mazurskie,PL85,11
2021-09-28,Wielkopolskie,PL86,23
2021-09-28,Zachodniopomorskie,PL87,42
2021-09-29,Poland,PL,975
2021-09-29,Dolnoslaskie,PL72,42
2021-09-29,Kujawsko-Pomorskie,PL73,23
2021-09-29,Lubelskie,PL75,198
2021-09-29,Lubuskie,PL76,7
2021-09-29,Lodzkie,PL74,65
2021-09-29,Malopolskie,PL77,75
2021-09-29,Mazowieckie,PL78,150
2021-09-29,Opolskie,PL79,8
